,smiles,lgHL
338,NC(=NC(=O)c1nc(Cl)c(nc1N)N)N,0.875
339,Clc1ccc(cc1)Nc1cc2nc3ccccc3n(c2cc1=NC(C)C)c1ccc(cc1)Cl,2.38
340,Clc1cccc(c1)c1cccc(c1)Cl,0.738
341,Clc1ccc(cc1)c1ccc(cc1)Cl,1.38
342,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.48
343,Clc1ccccc1c1ccccc1,1.31
344,Clc1cccc(c1)c1ccccc1,0.619
345,Clc1ccc(cc1)c1ccccc1,0.613
346,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,1.46
347,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,0.763
348,CC(c1cccc(c1O)C(C)C)C,0.505
349,O=C1C=C2C(=CC3C(C2(C2C1C2)C)CCC1(C3CCC1(O)C(=O)C)C)Cl,1.86
350,CNC(=O)c1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.114
351,Oc1ccc2c(c1)Oc1c(C32OC(=O)c2c3cccc2)ccc(c1)O,0.204
352,CC(N(CC#C)C)Cc1ccccc1,0.114
353,OCC1OC(CC1O)n1cnc(nc1=O)N,-0.237
354,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,3.48
355,OCCN1CCN(CC1)CCC=C1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,1.46
356,O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1Cl,2.3
